День,Ценовая зона,Индекс РСВ на покупку руб./МВт*ч,% изм,"Объем полного планового потребления, МВт*ч",% изм,"Объем планового производства по типам станций, МВт*ч","Объем планового производства по типам станций, МВт*ч","Объем планового производства по типам станций, МВт*ч","Объем планового производства по типам станций, МВт*ч"
День,Ценовая зона,Индекс РСВ на покупку руб./МВт*ч,% изм,"Объем полного планового потребления, МВт*ч",% изм.1,ТЭС,ГЭС,АЭС,СЭС/ВЭС
24.12.2024,1,1 815.20,-6.03%,2 608 319.509,-0.48%,1 819 990.339,152 737.863,704 304.377,12 285.580
23.12.2024,1,1 931.66,+7.33%,2 620 933.531,+4.14%,1 834 405.045,150 672.519,703 864.360,15 713.433
22.12.2024,1,1 799.74,-6.03%,2 516 733.395,-1.77%,1 740 614.050,130 561.958,702 163.360,17 775.941
21.12.2024,1,1 915.31,+6.91%,2 562 189.601,-2.89%,1 793 182.646,132 570.850,691 457.360,22 806.726
20.12.2024,1,1 791.51,-3.02%,2 638 478.876,-1.34%,1 842 184.710,152 401.010,704 350.360,19 465.969
19.12.2024,1,1 847.36,+4.46%,2 674 275.156,+1.17%,1 873 114.496,151 174.882,708 133.220,29 182.347
18.12.2024,1,1 768.45,+1.96%,2 643 462.385,+0.99%,1 815 569.950,150 387.183,707 678.469,49 769.214
17.12.2024,1,1 734.39,-3.64%,2 617 531.397,-0.69%,1 794 105.246,146 842.972,708 770.736,47 167.969
16.12.2024,1,1 799.92,+4.67%,2 635 648.261,+3.26%,1 823 608.191,146 260.381,708 960.137,39 879.030
15.12.2024,1,1 719.68,+0.11%,2 552 449.204,-1.39%,1 767 681.425,128 862.940,707 044.607,28 810.203
14.12.2024,1,1 717.75,+0.03%,2 588 430.782,-1.49%,1 799 582.433,132 385.340,707 141.360,34 885.803
13.12.2024,1,1 717.29,-4.76%,2 627 540.012,+1.25%,1 819 721.931,148 780.038,707 318.792,37 104.014
12.12.2024,1,1 803.19,-0.99%,2 595 168.969,+0.27%,1 812 281.716,146 825.640,683 119.360,35 534.995
11.12.2024,1,1 821.19,+0.98%,2 588 276.741,-0.20%,1 828 175.083,148 718.239,682 419.838,12 401.918
10.12.2024,1,1 803.48,+5.11%,2 593 525.321,+0.45%,1 806 137.676,148 988.242,705 880.360,14 684.873
09.12.2024,1,1 715.77,+7.99%,2 581 957.702,+3.42%,1 776 925.786,148 694.541,707 325.560,27 548.579
08.12.2024,1,1 588.84,-8.95%,2 496 581.867,-1.23%,1 695 022.420,133 711.739,707 256.070,37 099.920
07.12.2024,1,1 745.01,-6.84%,2 527 707.364,-2.97%,1 744 948.032,131 589.741,694 280.560,35 941.606
06.12.2024,1,1 873.22,+3.42%,2 605 008.196,+1.27%,1 830 251.269,149 273.641,687 384.360,23 209.134
05.12.2024,1,1 811.31,+1.33%,2 572 370.173,+0.41%,1 784 160.218,149 796.142,708 905.360,17 348.632
04.12.2024,1,1 787.62,-1.42%,2 561 938.957,+0.54%,1 763 557.693,153 279.940,709 461.548,21 560.331
03.12.2024,1,1 813.34,-4.45%,2 548 061.856,+0.09%,1 749 821.030,151 196.238,706 897.360,24 073.945
02.12.2024,1,1 897.79,-0.81%,2 545 715.299,+3.85%,1 751 262.590,149 789.340,706 927.360,17 625.885
01.12.2024,1,1 913.22,-0.71%,2 451 225.793,-1.10%,1 679 068.396,135 241.781,704 784.576,11 565.904
30.11.2024,1,1 926.93,-0.49%,2 478 411.276,-3.20%,1 738 096.245,147 666.361,656 043.554,7 913.254
29.11.2024,1,1 936.45,+0.35%,2 560 235.596,-0.14%,1 806 822.527,161 359.861,655 792.000,8 930.917
28.11.2024,1,1 929.69,+1.00%,2 563 722.314,+0.85%,1 807 459.046,159 118.960,655 552.732,12 958.244
27.11.2024,1,1 910.63,+1.92%,2 542 027.655,+1.15%,1 799 599.847,156 730.259,655 748.000,7 756.529
26.11.2024,1,1 874.65,+0.25%,2 513 089.738,+0.65%,1 773 757.184,152 055.859,655 002.000,12 072.382
25.11.2024,1,1 869.99,+6.69%,2 496 778.265,+4.28%,1 752 591.896,148 624.761,655 768.000,17 351.824
24.11.2024,1,1 752.79,-5.31%,2 394 389.477,-1.14%,1 645 423.730,131 896.161,654 848.583,33 878.477
24.12.2024,2,1 995.90,-4.47%,742 111.499,+0.50%,454 507.316,284 629.999,0.000,267.690
23.12.2024,2,2 089.30,+9.43%,738 423.683,+2.30%,451 337.185,274 822.001,0.000,528.140
22.12.2024,2,1 909.22,-9.49%,721 847.135,-0.05%,442 123.723,274 821.998,0.000,412.740
21.12.2024,2,2 109.37,+16.56%,722 242.077,-0.91%,440 965.000,273 595.883,0.000,329.090
20.12.2024,2,1 809.69,+4.07%,728 872.792,-0.31%,459 533.382,272 138.000,0.000,285.990
19.12.2024,2,1 738.89,-1.79%,731 148.096,+0.31%,458 586.214,271 962.002,0.000,217.242
18.12.2024,2,1 770.65,-1.04%,728 895.622,+0.71%,455 953.149,272 060.001,0.000,242.614
17.12.2024,2,1 789.21,-7.13%,723 784.347,+0.08%,442 979.603,274 059.999,0.000,357.378
16.12.2024,2,1 926.62,-4.31%,723 183.385,+2.17%,440 348.853,274 047.998,0.000,489.983
15.12.2024,2,2 013.43,+4.79%,707 849.006,-0.76%,422 637.097,278 168.002,0.000,338.912
14.12.2024,2,1 921.33,+7.43%,713 263.000,-1.31%,419 685.626,281 170.000,0.000,331.400
13.12.2024,2,1 788.43,-3.52%,722 767.233,-0.34%,437 154.816,279 732.001,0.000,360.620
12.12.2024,2,1 853.77,+0.71%,725 225.260,+0.24%,439 881.614,283 445.998,0.000,244.540
11.12.2024,2,1 840.62,+4.38%,723 524.665,+0.13%,441 846.452,279 295.998,0.000,266.905
10.12.2024,2,1 763.37,-0.62%,722 554.558,+0.49%,437 940.910,280 283.998,0.000,285.435
09.12.2024,2,1 774.33,+4.41%,719 052.281,+2.96%,429 056.765,284 241.999,0.000,294.388
08.12.2024,2,1 699.46,-2.01%,698 406.031,-0.22%,412 602.359,280 217.998,0.000,352.490
07.12.2024,2,1 734.37,-31.75%,699 913.822,-0.79%,411 483.793,286 404.000,0.000,351.870
06.12.2024,2,2 541.37,+37.85%,705 494.831,-0.29%,424 457.577,270 422.619,0.000,352.385
05.12.2024,2,1 843.57,-8.15%,707 576.865,-0.33%,418 809.398,278 704.003,0.000,341.373
04.12.2024,2,2 007.17,+5.92%,709 916.374,-0.09%,421 232.417,280 742.000,0.000,299.484
03.12.2024,2,1 895.02,-1.35%,710 568.078,+0.02%,427 260.796,276 782.001,0.000,568.670
02.12.2024,2,1 920.99,-7.52%,710 418.501,+0.98%,426 871.995,281 815.997,0.000,404.196
01.12.2024,2,2 077.20,+10.68%,703 503.713,+0.12%,425 644.854,276 852.998,0.000,464.885
30.11.2024,2,1 876.83,-4.81%,702 674.231,-0.55%,424 291.914,276 310.002,0.000,434.065
29.11.2024,2,1 971.70,-4.23%,706 594.824,+0.32%,427 513.659,273 793.998,0.000,382.599
28.11.2024,2,2 058.77,+9.44%,704 351.545,-0.35%,436 166.660,268 971.081,0.000,372.820
27.11.2024,2,1 881.17,+3.25%,706 833.126,+0.69%,429 334.307,274 827.698,0.000,438.802
26.11.2024,2,1 821.94,-0.08%,701 984.470,-0.55%,414 225.565,282 681.000,0.000,382.850
25.11.2024,2,1 823.42,+1.97%,705 872.009,+1.25%,414 407.433,283 188.999,0.000,655.650
24.11.2024,2,1 788.12,-10.23%,697 180.177,-0.21%,409 829.874,281 160.000,0.000,438.360
